OID_,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,DIST0228_,DIST0228_I,DISTNUMBER,DIST_NAME,Shape_Length,Shape_Area_1
10,56075,56075,B5,G6350,S,151548.000000000000000,0.000000000000000,+43.7350467,-094.4366869,2041.569324329999972,151475.880953999992926,11,1,10,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,2041.569324327711229,151475.880953505140496
11,56078,56078,B5,G6350,S,56217037.000000000000000,8809.000000000000000,+44.0059214,-093.7608753,58013.034238300002471,56186097.953000001609325,12,1,11,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,58013.034238304127939,56186097.952984392642975
12,56080,56080,B5,G6350,S,1164266.000000000000000,0.000000000000000,+44.0804223,-093.8545045,7031.298057490000247,1163467.432860000059009,13,1,12,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,7031.298057490744213,1163467.432855173014104
13,56081,56081,B5,G6350,S,456513544.000000000000000,4684406.000000000000000,+43.9910886,-094.6293479,149373.521905000001425,461022869.996999979019165,14,1,13,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,149373.521904892637394,461022869.996581554412842
14,56082,56082,B5,G6350,S,321226336.000000000000000,6203742.000000000000000,+44.3572867,-094.0369650,142262.073029999999562,327222923.120000004768372,15,1,14,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,142262.073029627586948,327222923.120063841342926
15,56083,56083,B5,G6350,S,254655972.000000000000000,923022.000000000000000,+44.2009329,-095.1340536,121281.745911000005435,255557556.777999997138977,16,1,15,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,121281.745911444057128,255557556.777578204870224
16,56085,56085,B5,G6350,S,542866101.000000000000000,2974485.000000000000000,+44.2946675,-094.7377175,161665.325642000010703,545661984.702999949455261,17,1,16,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,161665.325641643110430,545661984.703408837318420
17,56087,56087,B5,G6350,S,379584072.000000000000000,1013061.000000000000000,+44.2405090,-094.9752484,124189.857063999996171,380525719.718999981880188,18,1,17,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,124189.857063793897396,380525719.719333827495575
18,56088,56088,B5,G6350,S,325101755.000000000000000,1955647.000000000000000,+43.8242218,-094.4432949,107844.879807999997865,326904817.132000029087067,19,1,18,20297652976.218021392822266,752947.602970000007190,8.000000000000000,6.000000000000000,7,MANKATO,107844.879807703211554,326904817.131663084030151
19,56089,56089,B5,G6350,S,1967118.000000000000000,442962.000000000000000,+43.5615727,-093.4311386,7708.228311359999680,2408225.898370000068098,20,1,19,17845464610.795959472656250,650601.341379999998026,9.000000000000000,7.000000000000000,6,ROCHESTER,7708.228311357185703,2408225.898365642409772
